#X,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
ALG155+1.p,86,1264,1350,5962,21118,54,0,86,178,1350,126,0,86,66,66,0,1,2,2,2,4,1,G,H,S,F,G,2,2,S,M
COL080-1.p,2,10,12,14,106,2,8,2,9,12,12,0,2,0,9,1,0,2,1,7,4,2,G,U,P,M,G,2,1,M,M
KLE017+1.p,1,27,28,47,211,0,14,1,24,20,11,3,1,5,17,0.785714,0.294118,2,1,6,3,1,G,H,S,M,G,2,1,M,M
KLE018+1.p,1,26,27,42,195,1,15,1,25,20,11,4,1,4,16,0.733333,0.25,2,1,6,3,1,G,U,S,M,G,2,1,M,M
LAT237-1.p,1,13,14,16,122,1,12,1,13,14,14,1,1,1,12,0.916667,0.083333,2,1,5,7,2,H,U,P,M,G,2,1,M,D
LAT251-1.p,1,13,14,16,120,1,12,1,13,14,14,1,1,1,12,0.916667,0.083333,2,1,5,5,2,H,U,P,M,G,2,1,M,M
SET121-7.p,10,144,154,327,3088,4,27,10,106,75,15,9,2,9,54,0.666667,0.166667,3,1,28,25,2,G,H,S,M,N,3,1,L,D
SET122-7.p,10,144,154,327,3088,4,27,10,106,75,15,9,2,9,54,0.666667,0.166667,3,1,28,25,2,G,H,S,M,N,3,1,L,D
SET169+3.p,1,17,18,38,156,1,3,1,14,8,3,0,1,0,5,1,0,2,2,8,3,1,G,U,S,S,G,2,2,M,M
SET171+3.p,1,17,18,38,156,1,3,1,14,8,3,0,1,0,5,1,0,2,2,8,3,1,G,U,S,S,G,2,2,M,M
CSR097+2.p,745,40705,41450,69801,231882,1,32654,745,40187,1313,22,32633,1,32633,32682,0.000643,0.998501,9,1,2516,5,1,G,H,S,M,N,3,1,L,M
FLD061-3.p,2,31,33,84,285,2,8,2,28,0,0,8,2,8,8,0,1,2,1,6,2,1,G,U,N,F,G,2,1,M,M
GRP693-1.p,1,13,14,14,108,1,13,1,13,14,14,3,1,3,13,0.769231,0.230769,2,1,7,4,2,U,U,P,M,G,2,1,M,M
GRP694-1.p,1,13,14,14,108,1,13,1,13,14,14,3,1,3,13,0.769231,0.230769,2,1,7,4,2,U,U,P,M,G,2,1,M,M
GRP695-1.p,1,13,14,14,108,1,13,1,13,14,14,3,1,3,13,0.769231,0.230769,2,1,7,4,2,U,U,P,M,G,2,1,M,M
LCL032-1.p,1,2,3,5,40,1,1,1,2,0,0,0,1,0,1,1,0,2,2,2,6,2,H,U,N,F,G,2,2,S,D
LCL037-1.p,1,2,3,5,42,1,1,1,2,0,0,0,1,0,1,1,0,2,2,2,6,2,H,U,N,F,G,2,2,S,D
PRO002+3.p,20,97,117,307,1074,8,7,20,75,21,6,7,7,7,7,0,1,4,2,56,2,1,G,H,S,F,N,3,2,L,M
PRO012+3.p,16,88,104,285,961,7,6,16,65,19,6,6,7,6,6,0,1,4,2,41,2,1,G,H,S,F,N,3,2,L,M
SET069-6.p,4,74,78,168,1941,2,14,4,66,23,6,7,2,7,17,0.5,0.411765,3,1,24,25,2,G,H,S,M,N,3,1,L,D
SET070-6.p,4,74,78,168,1941,2,14,4,66,23,6,7,2,7,17,0.5,0.411765,3,1,24,25,2,G,H,S,M,N,3,1,L,D
SET508-6.p,3,93,96,202,2438,1,20,3,85,31,8,11,1,11,23,0.45,0.478261,3,1,26,25,2,G,H,S,M,N,3,1,L,D
SET509-6.p,3,93,96,202,2438,1,20,3,85,31,8,11,1,11,23,0.45,0.478261,3,1,26,25,2,G,H,S,M,N,3,1,L,D
SEU145+2.p,14,85,99,221,953,5,19,14,67,63,12,3,3,3,31,0.842105,0.096774,3,2,29,3,1,G,H,S,M,N,3,2,L,M
SWC377+1.p,14,188,202,726,2120,2,17,14,116,91,4,17,3,18,18,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
ALG426-1.p,7,721,728,1688,9813,2,121,7,643,505,12,118,2,118,122,0.024793,0.967213,4,2,86,7,1,G,H,S,S,N,3,2,L,D
ANA023-1.p,86,2714,2800,6165,30575,48,593,86,2465,1054,546,173,10,173,657,0.708263,0.263318,18,2,551,8,1,G,H,S,M,N,3,2,L,D
GRP780+1.p,1,12,13,15,117,1,10,1,12,9,7,3,1,3,10,0.7,0.3,2,2,6,4,1,H,U,S,M,G,2,2,M,M
NUM481+3.p,7,83,90,414,1266,3,3,7,39,76,3,3,3,3,3,0,1,2,1,17,3,1,G,H,S,F,N,2,1,M,M
NUM526+3.p,7,91,98,407,1294,5,17,7,55,76,11,17,5,17,17,0,1,3,2,20,3,1,G,H,S,F,N,3,2,M,M
NUM619+3.p,26,4894,4920,56039,259052,5,70,26,535,4297,23,70,5,70,70,0,1,4,2,124,5,1,G,H,S,F,N,3,2,L,M
NUM630+3.p,26,4902,4928,56063,259182,4,68,26,541,4300,22,68,4,68,68,0,1,4,2,124,5,1,G,H,S,F,N,3,2,L,M
SEU345+1.p,13,145,158,472,1746,9,45,13,92,41,7,20,5,20,46,0.555556,0.434783,6,1,61,4,1,G,H,S,M,N,3,1,L,M
SWC066+1.p,15,186,201,732,2128,2,18,15,114,92,3,18,2,19,19,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
SWV693-1.p,47,1424,1471,4428,34750,19,264,47,1179,584,138,160,2,160,276,0.393939,0.57971,5,2,81,16,2,G,H,S,M,N,3,2,L,D
SWW174+1.p,79,1588,1667,4430,30035,28,368,79,1333,693,217,236,6,236,389,0.358696,0.606684,4,2,60,13,1,G,H,S,M,N,3,2,L,D
SWW284+1.p,38,1496,1534,4017,25820,19,247,38,1247,890,188,137,3,137,273,0.445344,0.501832,5,2,137,9,1,G,H,S,M,N,3,2,L,D
SWW285+1.p,37,1503,1540,4040,25972,18,247,37,1248,896,189,140,2,141,274,0.433198,0.514599,5,2,138,9,1,G,H,S,M,N,3,2,L,D
ALG004-1.p,1,6,7,11,69,1,4,1,6,7,7,3,1,3,4,0.25,0.75,2,2,2,3,1,H,U,P,F,G,2,2,S,M
GRP505-1.p,1,1,2,2,39,1,1,1,1,2,2,0,1,0,1,1,0,2,1,3,10,4,U,U,P,F,G,2,1,S,D
GRP506-1.p,1,1,2,2,38,1,1,1,1,2,2,0,1,0,1,1,0,2,1,3,10,4,U,U,P,F,G,2,1,S,D
GRP507-1.p,1,1,2,2,41,1,1,1,1,2,2,0,1,0,1,1,0,2,1,3,10,4,U,U,P,F,G,2,1,S,D
GRP508-1.p,1,1,2,2,37,1,1,1,1,2,2,0,1,0,1,1,0,2,1,3,10,3,U,U,P,F,G,2,1,S,D
GRP654+1.p,1,5,6,7,57,0,5,1,5,6,6,0,0,0,5,1,0,2,1,8,4,2,U,H,P,M,N,2,1,M,M
PUZ073+1.p,4950,1380,6330,13722,41150,4950,3,4950,224,6285,4951,3,4950,5,6,0,0.833333,0,0,0,1,1,G,U,S,F,G,0,0,S,M
SET861-2.p,1,14,15,41,289,0,2,1,11,2,0,0,0,0,3,1,0,3,2,24,4,1,G,H,S,S,N,3,2,L,M
GRP033-3.p,1,21,22,50,185,0,7,1,21,0,0,1,0,1,7,0.857143,0.142857,2,1,4,2,1,H,H,N,M,N,2,1,S,M
GRP086-1.p,1,1,2,5,47,0,1,1,1,2,2,0,1,0,1,1,0,2,1,3,5,2,U,H,P,F,G,2,1,S,M
GRP087-1.p,1,1,2,5,47,0,1,1,1,2,2,0,1,0,1,1,0,2,1,3,6,2,U,H,P,F,G,2,1,S,D
KLE007+1.p,1,24,25,40,198,1,13,1,23,21,12,2,1,2,14,0.846154,0.142857,2,1,6,5,1,G,U,S,M,G,2,1,M,M
LCL274-3.p,1,7,8,11,85,1,5,1,7,0,0,0,1,0,5,1,0,2,1,3,7,3,H,U,N,M,G,2,1,S,D
LCL294-3.p,1,7,8,11,89,1,5,1,7,0,0,0,1,0,5,1,0,2,1,3,8,3,H,U,N,M,G,2,1,S,D
LCL311-3.p,1,7,8,11,87,1,5,1,7,0,0,0,1,0,5,1,0,2,1,3,8,3,H,U,N,M,G,2,1,S,D
REL003+1.p,1,15,16,20,166,0,12,1,14,16,16,0,1,1,13,1,0.076923,2,1,6,5,2,G,H,P,M,G,2,1,M,M
RNG050+1.p,2,52,54,186,664,1,3,2,41,34,0,3,1,4,4,0,1,2,1,15,5,1,G,H,S,F,N,2,1,M,M
SET103-7.p,10,124,134,283,2607,4,27,10,99,57,11,9,2,9,42,0.666667,0.214286,3,1,26,25,2,G,H,S,M,N,3,1,L,D
SWB007+1.p,111,1049,1160,5196,21419,3,208,111,747,176,0,203,1,203,210,0.024038,0.966667,7,3,668,2,1,G,H,S,M,N,3,3,L,M
SWC050-1.p,14,189,203,639,1930,2,59,14,152,83,3,17,2,21,63,0.711864,0.333333,2,1,54,5,1,G,H,S,M,N,2,1,L,M
SWC096+1.p,14,192,206,740,2173,2,17,14,117,94,3,17,2,21,21,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
SWC415-1.p,14,183,197,633,1916,2,59,14,149,87,3,17,2,17,59,0.711864,0.288136,2,1,54,5,1,G,H,S,M,N,2,1,L,M
SWV900-1.p,22,557,579,1210,10537,14,142,22,519,301,115,30,1,30,152,0.788732,0.197368,6,2,109,10,2,G,H,S,M,N,3,2,L,D
SWV913-1.p,27,491,518,1164,10316,10,115,27,427,254,100,13,1,13,127,0.886957,0.102362,6,2,122,9,2,G,H,S,M,N,3,2,L,D
LCL503+1.p,1,71,72,135,566,1,11,1,68,7,0,11,1,14,14,0,1,2,1,9,5,3,G,U,S,F,G,2,1,M,M
LCL507+1.p,1,71,72,135,566,1,11,1,68,7,0,11,1,14,14,0,1,2,1,9,5,3,G,U,S,F,G,2,1,M,M
LCL509+1.p,1,71,72,135,566,1,11,1,68,7,0,11,1,14,14,0,1,2,1,9,5,3,G,U,S,F,G,2,1,M,M
LCL510+1.p,1,71,72,135,566,1,11,1,68,7,0,11,1,14,14,0,1,2,1,9,5,3,G,U,S,F,G,2,1,M,M
LCL513+1.p,1,71,72,135,566,1,11,1,68,7,0,11,1,14,14,0,1,2,1,9,5,3,G,U,S,F,G,2,1,M,M
LCL516+1.p,1,71,72,135,566,1,11,1,68,7,0,11,1,14,14,0,1,2,1,9,5,3,G,U,S,F,G,2,1,M,M
FLD013-1.p,2,32,34,80,269,2,8,2,29,0,0,8,2,8,8,0,1,2,1,6,3,1,G,U,N,F,G,2,1,M,M
FLD025-1.p,2,32,34,80,269,2,8,2,29,0,0,8,2,8,8,0,1,2,1,6,3,1,G,U,N,F,G,2,1,M,M
SWV479+1.p,40,93,133,365,1729,29,31,40,77,90,49,18,9,18,34,0.419355,0.529412,7,1,40,4,1,G,H,S,M,N,3,1,L,M
SWV480+1.p,40,92,132,364,1724,29,30,40,76,89,48,17,9,17,33,0.433333,0.515152,7,1,40,4,1,G,H,S,M,N,3,1,L,M
SYN597-1.p,1,27,28,60,229,1,10,1,27,0,0,5,1,5,10,0.5,0.5,3,1,13,5,1,H,U,N,M,G,3,1,M,M
SYN601-1.p,2,28,30,63,251,2,10,2,28,0,0,5,2,5,10,0.5,0.5,3,1,14,5,1,H,U,N,M,G,3,1,M,M
SYN651-1.p,1,44,45,100,476,1,14,1,44,0,0,2,1,2,14,0.857143,0.142857,2,2,18,6,1,H,U,N,M,G,2,2,M,D
GEO094+1.p,3,44,47,141,525,0,5,3,28,14,0,4,0,4,9,0.2,0.444444,3,1,27,3,1,G,H,S,F,N,3,1,L,M
GEO094-1.p,3,44,47,141,525,0,5,3,28,14,0,4,0,4,9,0.2,0.444444,3,1,27,3,1,G,H,S,F,N,3,1,L,M
SWC052+1.p,14,189,203,735,2139,2,16,14,117,93,4,16,2,17,17,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
SWC057+1.p,14,188,202,733,2134,2,16,14,112,96,3,16,2,21,21,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
SWC058+1.p,14,188,202,733,2134,2,16,14,112,96,3,16,2,21,21,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
SWC070+1.p,15,185,200,725,2111,2,16,15,110,93,4,16,3,20,20,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
SWC085+1.p,14,186,200,724,2108,2,17,14,111,92,3,17,2,21,21,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
SWC108+1.p,14,188,202,729,2124,2,16,14,112,96,3,16,3,21,21,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
SWC122+1.p,14,185,199,720,2097,2,17,14,114,89,4,17,3,17,17,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
SWC357+1.p,14,186,200,721,2100,3,17,14,111,92,3,17,3,21,21,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
SWC373+1.p,14,182,196,713,2076,3,17,14,111,88,3,17,3,17,17,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
ANA027-1.p,86,2714,2800,6165,30575,48,593,86,2465,1054,546,173,10,173,657,0.708263,0.263318,18,2,551,8,1,G,H,S,M,N,3,2,L,D
FLD005-1.p,2,28,30,76,257,2,4,2,25,0,0,4,1,4,4,0,1,2,1,6,3,1,G,U,N,F,N,2,1,M,M
FLD011-3.p,3,26,29,80,276,3,3,3,23,0,0,3,3,3,3,0,1,2,1,6,3,1,G,U,N,F,G,2,1,M,M
GRP620+1.p,11,128,139,641,2174,7,44,11,74,27,0,32,7,32,44,0.272727,0.727273,3,1,30,3,1,G,H,S,M,N,3,1,L,M
HAL006+1.p,1,56,57,163,784,0,18,1,47,26,0,18,0,18,18,0,1,6,2,43,4,1,G,H,S,F,N,3,2,L,M
LAT289+1.p,12,172,184,518,1327,9,53,12,119,9,0,39,8,39,58,0.264151,0.672414,4,1,31,4,1,G,H,S,M,N,3,1,L,M
LCL458+1.p,1,81,82,145,576,1,21,1,78,7,0,21,1,24,24,0,1,2,1,9,5,3,G,U,S,F,G,2,1,M,M
NUM156-1.p,4,136,140,304,3081,1,27,4,124,50,11,15,1,15,31,0.444444,0.483871,3,1,40,25,2,G,H,S,M,N,3,1,L,D
NUM181-1.p,3,137,140,304,3081,0,28,3,125,50,11,16,0,16,32,0.428571,0.5,3,1,40,25,2,G,H,S,M,N,3,1,L,D
NUM495+3.p,11,214,225,1626,6825,7,24,11,60,192,12,24,7,24,24,0,1,3,2,26,4,1,G,H,S,F,N,3,2,L,M
NUM588+1.p,10,165,175,686,2460,3,25,10,126,101,8,25,3,25,25,0,1,4,2,72,5,1,G,H,S,F,N,3,2,L,M
RNG091+1.p,2,68,70,220,816,1,19,2,55,42,5,19,2,19,19,0,1,4,2,36,3,1,G,H,S,F,G,3,2,L,M
SCT080-1.p,19,666,685,1707,17827,12,158,19,556,354,122,25,1,25,182,0.841772,0.137363,6,3,247,8,2,G,H,S,M,N,3,3,L,D
SET165-6.p,3,93,96,202,2449,1,20,3,85,31,8,11,1,11,23,0.45,0.478261,3,1,26,25,2,G,H,S,M,N,3,1,L,D
SET185-6.p,3,94,97,203,2442,1,21,3,86,31,8,12,1,12,24,0.428571,0.5,3,1,26,25,2,G,H,S,M,N,3,1,L,D
SET260-6.p,3,95,98,204,2459,1,22,3,87,30,7,13,1,13,25,0.409091,0.52,3,1,26,25,2,G,H,S,M,N,3,1,L,D
SEU078+1.p,8,72,80,191,627,4,27,8,61,25,0,22,2,22,31,0.185185,0.709677,3,1,27,4,1,G,H,S,M,N,3,1,L,M
SEU179+1.p,9,32,41,86,344,5,12,9,27,11,1,7,2,7,14,0.416667,0.5,3,1,25,4,1,G,H,S,M,N,3,1,L,M
SWB009+3.p,4,230,234,786,2950,1,79,4,212,0,0,76,0,76,79,0.037975,0.962025,7,3,54,2,1,G,H,N,S,N,3,3,L,M
SWC123+1.p,15,184,199,721,2097,2,19,15,113,88,3,19,3,19,19,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
SWC366+1.p,14,186,200,736,2149,2,17,14,114,90,3,17,3,17,17,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
SWV250-1.p,92,2731,2823,6140,30907,55,638,92,2474,1107,607,178,12,178,704,0.721003,0.252841,18,2,557,8,1,G,H,S,M,N,3,2,L,D
SWV450+1.p,36,81,117,218,936,30,29,36,65,74,51,16,10,17,33,0.448276,0.515152,2,1,27,4,1,G,H,S,M,N,2,1,L,M
SWV451+1.p,38,84,122,227,952,32,28,38,67,80,55,15,12,17,33,0.464286,0.515152,2,1,27,4,1,G,H,S,M,N,2,1,L,M
TOP035+1.p,10,208,218,776,2061,7,27,10,154,9,2,21,5,21,28,0.222222,0.75,4,1,34,4,1,G,H,S,M,N,3,1,L,M
COL044-9.p,1,3,4,4,66,1,3,1,3,4,4,1,1,1,3,0.666667,0.333333,2,2,2,12,4,U,U,P,S,G,2,2,S,D
GRP199-1.p,1,7,8,10,78,1,5,1,7,8,8,3,1,3,5,0.4,0.6,2,2,2,5,2,H,U,P,S,G,2,2,S,M
ALG057+1.p,123,456,579,2326,13008,110,15,123,109,578,360,15,123,97,97,0,1,2,2,2,4,1,G,H,S,F,G,2,2,S,M
ALG142+1.p,82,108,190,574,3050,54,0,82,16,190,190,0,82,52,52,0,1,2,2,2,3,1,G,H,P,F,G,2,2,S,M
GRP051-1.p,1,1,2,4,48,0,1,1,1,2,2,0,1,0,1,1,0,2,1,3,7,3,U,H,P,F,G,2,1,S,D
GRP055-1.p,1,1,2,4,50,0,1,1,1,2,2,0,1,0,1,1,0,2,1,3,11,3,U,H,P,F,G,2,1,S,D
GRP056-1.p,1,1,2,4,50,0,1,1,1,2,2,0,1,0,1,1,0,2,1,3,9,3,U,H,P,F,G,2,1,S,D
GRP407-1.p,1,1,2,2,28,1,1,1,1,2,2,0,1,0,1,1,0,2,1,3,8,3,U,U,P,F,G,2,1,S,D
GRP410-1.p,1,1,2,2,28,1,1,1,1,2,2,0,1,0,1,1,0,2,1,3,7,3,U,U,P,F,G,2,1,S,D
GRP416-1.p,1,1,2,2,30,1,1,1,1,2,2,0,1,0,1,1,0,2,1,3,9,3,U,U,P,F,G,2,1,S,D
GRP419-1.p,1,1,2,2,30,1,1,1,1,2,2,0,1,0,1,1,0,2,1,3,12,4,U,U,P,F,G,2,1,S,D
GRP422-1.p,1,1,2,2,30,1,1,1,1,2,2,0,1,0,1,1,0,2,1,3,11,4,U,U,P,F,G,2,1,S,D
GRP425-1.p,1,1,2,2,30,1,1,1,1,2,2,0,1,0,1,1,0,2,1,3,9,3,U,U,P,F,G,2,1,S,D
GRP655+1.p,1,5,6,7,57,0,5,1,5,6,6,0,0,0,5,1,0,2,1,8,4,2,U,H,P,M,N,2,1,M,M
HWV068-1.p,3659,46254,49913,135045,583049,27,34,3659,32830,1,1,2,3,2,3202,0.941176,0.000625,0,0,0,1,1,G,H,S,M,N,0,0,S,M
SET143+3.p,1,13,14,30,120,1,2,1,11,7,2,0,1,0,4,1,0,2,2,6,3,1,G,U,S,S,G,2,2,M,M
SET916+1.p,6,18,24,56,250,4,4,6,13,15,3,1,4,1,8,0.75,0.125,3,2,12,2,1,G,H,S,S,N,3,2,M,M
ALG119+1.p,270,2596,2866,16852,85212,124,22,270,348,2866,250,22,270,128,128,0,1,2,1,8,4,2,G,H,S,F,G,2,1,M,M
ALG199+1.p,323,203,526,1420,7892,322,55,323,55,526,526,55,323,203,203,0,1,2,2,2,6,1,G,H,P,F,G,2,2,S,D
COL026-1.p,1,2,3,3,29,1,2,1,2,3,3,0,0,0,2,1,0,2,2,2,4,2,U,U,P,S,N,2,2,S,M
CSR034+3.p,75,7932,8007,13036,37600,33,3250,75,7932,0,0,2786,1,2786,3250,0.142769,0.857231,4,1,187,6,1,H,H,N,M,N,3,1,L,D
CSR034+4.p,183,44032,44215,65448,225452,99,23711,183,44032,2,0,22509,2,22509,23711,0.050694,0.949306,4,1,460,6,1,H,H,S,M,N,3,1,L,D
GRP497-1.p,1,2,3,3,31,1,2,1,2,3,3,0,1,0,2,1,0,2,2,2,5,2,U,U,P,S,G,2,2,S,M
LCL041-1.p,1,6,7,9,66,1,5,1,6,0,0,0,1,0,5,1,0,2,1,3,5,3,H,U,N,M,G,2,1,S,M
LCL107-1.p,1,2,3,5,52,1,1,1,2,0,0,0,1,0,1,1,0,2,2,2,7,3,H,U,N,F,G,2,2,S,D
SET095+4.p,3,28,31,67,248,2,1,3,23,5,0,1,1,1,3,0,0.333333,2,1,18,2,1,G,H,S,F,N,2,1,M,M
SEU189+2.p,22,253,275,722,3369,8,34,22,196,155,25,11,3,12,58,0.676471,0.206897,5,2,135,4,1,G,H,S,M,N,3,2,L,M
SYN666-1.p,2,52,54,117,489,2,21,2,50,0,0,11,1,11,21,0.47619,0.52381,2,1,17,6,1,G,U,N,M,N,2,1,M,D
SYN667-1.p,2,52,54,117,489,2,21,2,50,0,0,11,1,11,21,0.47619,0.52381,2,1,17,6,1,G,U,N,M,N,2,1,M,D
SYN668-1.p,2,52,54,117,489,2,21,2,50,0,0,11,1,11,21,0.47619,0.52381,2,1,17,6,1,G,U,N,M,N,2,1,M,D
SYN669-1.p,2,52,54,117,489,2,21,2,50,0,0,11,1,11,21,0.47619,0.52381,2,1,17,6,1,G,U,N,M,N,2,1,M,D
SYN670-1.p,2,52,54,117,491,2,21,2,50,0,0,11,1,11,21,0.47619,0.52381,2,1,17,6,1,G,U,N,M,N,2,1,M,D
SYN671-1.p,2,52,54,117,491,2,21,2,50,0,0,11,1,11,21,0.47619,0.52381,2,1,17,6,1,G,U,N,M,N,2,1,M,D
CAT001-3.p,1,20,21,41,157,1,6,1,18,13,7,3,1,3,8,0.5,0.375,2,1,6,3,1,G,U,S,S,G,2,1,M,M
CAT001-4.p,1,15,16,28,115,1,6,1,15,10,6,3,1,3,6,0.5,0.5,2,1,4,3,1,H,U,S,S,G,2,1,S,M
GEO170+3.p,17,33,50,127,395,8,3,17,8,0,0,3,1,3,10,0,0.3,2,2,8,2,1,G,H,N,F,N,2,2,M,M
GEO172+3.p,17,33,50,127,395,8,3,17,8,0,0,3,1,3,10,0,0.3,2,2,8,2,1,G,H,N,F,N,2,2,M,M
GEO173+3.p,18,33,51,128,398,9,3,18,8,0,0,3,2,3,10,0,0.3,2,2,8,2,1,G,H,N,F,N,2,2,M,M
GEO175+3.p,18,33,51,128,398,9,3,18,8,0,0,3,2,3,10,0,0.3,2,2,8,2,1,G,H,N,F,N,2,2,M,M
GEO184+3.p,17,34,51,128,398,8,4,17,9,0,0,4,1,4,11,0,0.363636,2,2,8,2,1,G,H,N,F,N,2,2,M,M
GEO186+3.p,17,34,51,128,398,8,4,17,9,0,0,4,1,4,11,0,0.363636,2,2,8,2,1,G,H,N,F,N,2,2,M,M
GRP175-1.p,1,16,17,17,154,1,16,1,16,17,17,1,1,1,16,0.9375,0.0625,2,1,7,4,2,U,U,P,M,G,2,1,M,M
GRP175-4.p,1,16,17,17,154,1,16,1,16,17,17,1,1,1,16,0.9375,0.0625,2,1,7,4,2,U,U,P,M,G,2,1,M,M
LCL192-1.p,1,8,9,14,92,1,5,1,8,0,0,0,1,0,5,1,0,2,1,3,5,3,H,U,N,M,G,2,1,S,M
LCL230-1.p,1,8,9,14,96,1,5,1,8,0,0,0,1,0,5,1,0,2,1,3,6,3,H,U,N,M,G,2,1,S,D
LCL231-1.p,1,8,9,14,99,1,5,1,8,0,0,0,1,0,5,1,0,2,1,3,7,3,H,U,N,M,G,2,1,S,D
REL009+1.p,1,13,14,15,141,0,13,1,13,14,14,1,1,1,13,0.923077,0.076923,2,1,6,5,2,U,H,P,M,G,2,1,M,M
REL009+2.p,1,16,17,18,273,0,16,1,16,17,17,1,1,1,16,0.9375,0.0625,2,1,6,11,3,U,H,P,M,G,2,1,M,D
REL009-1.p,1,13,14,15,141,0,13,1,13,14,14,1,1,1,13,0.923077,0.076923,2,1,6,5,2,U,H,P,M,G,2,1,M,M
REL009-2.p,1,16,17,18,273,0,16,1,16,17,17,1,1,1,16,0.9375,0.0625,2,1,6,11,3,U,H,P,M,G,2,1,M,D
ROB016-1.p,1,10,11,15,107,1,7,1,10,8,6,3,1,3,7,0.571429,0.428571,2,1,6,8,2,H,U,S,M,G,2,1,M,D
SWC189+1.p,14,187,201,723,2118,3,21,14,116,91,5,21,3,21,21,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
SWC331+1.p,15,185,200,723,2110,2,19,15,114,91,5,19,3,19,19,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
SWC347+1.p,15,185,200,725,2115,2,19,15,114,91,5,19,3,19,19,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
SWC370+1.p,15,185,200,722,2108,3,19,15,114,91,5,19,3,19,19,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
SWC371+1.p,15,185,200,724,2113,3,19,15,114,91,5,19,3,19,19,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
SWC372+1.p,15,185,200,724,2113,3,19,15,114,91,5,19,3,19,19,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M
SWC380-1.p,14,189,203,637,1938,2,59,14,152,89,3,17,2,21,63,0.711864,0.333333,2,1,54,5,1,G,H,S,M,N,2,1,L,M
COL057-1.p,1,4,5,5,58,1,4,1,4,5,5,0,0,0,4,1,0,2,1,3,4,3,U,U,P,M,N,2,1,S,M
COM003+1.p,2,93,95,561,1742,0,1,2,19,0,0,1,0,1,1,0,1,1,1,8,2,1,G,H,N,F,N,1,1,M,M
CSR028+6.p,79193,3262770,3341963,5328165,15488627,4681,1395433,79193,3262770,49,0,1381417,3181,1381417,1395433,0.010044,0.989956,5,1,4012,8,1,H,H,S,M,N,3,1,L,D
SET809+4.p,3,77,80,214,908,1,2,3,43,7,0,2,0,2,24,0,0.083333,3,1,43,3,1,G,H,S,F,N,3,1,L,M
SET810+4.p,3,79,82,216,914,1,4,3,45,7,0,4,0,4,26,0,0.153846,3,1,43,3,1,G,H,S,F,N,3,1,L,M
SWC053-1.p,14,189,203,640,1933,2,58,14,147,95,3,16,2,25,67,0.724138,0.373134,2,1,54,5,1,G,H,S,M,N,2,1,L,M
SWC081-1.p,14,187,201,631,1907,2,59,14,146,91,3,17,2,25,67,0.711864,0.373134,2,1,54,5,1,G,H,S,M,N,2,1,L,M
SWW097+1.p,12,68,80,205,743,11,10,12,27,66,12,7,4,7,19,0.3,0.368421,2,1,24,8,1,G,H,S,S,N,2,1,L,D
ALG436-1.p,3,478,481,1131,6405,0,75,3,416,327,4,73,1,74,76,0.026667,0.973684,3,2,36,6,1,G,H,S,S,N,3,2,L,D
BOO021-1.p,1,6,7,7,59,1,6,1,6,7,7,0,1,0,6,1,0,2,1,5,3,2,U,U,P,M,G,2,1,M,M
CAT033+1.p,8,66,74,266,931,2,18,8,53,10,0,14,2,14,21,0.222222,0.666667,6,1,28,3,1,G,H,S,M,N,3,1,L,M
FLD056-1.p,2,27,29,75,253,2,3,2,24,0,0,3,2,3,3,0,1,2,1,6,3,1,G,U,N,F,G,2,1,M,M
FLD071-1.p,2,30,32,78,263,2,6,2,27,0,0,6,2,6,6,0,1,2,1,6,3,1,G,U,N,F,G,2,1,M,M
FLD071-2.p,2,32,34,80,268,2,8,2,29,0,0,8,2,8,8,0,1,2,1,6,3,1,G,U,N,F,G,2,1,M,M
GRP139-1.p,1,17,18,18,151,1,17,1,17,18,18,2,1,2,17,0.882353,0.117647,2,1,7,3,2,U,U,P,M,G,2,1,M,M
GRP141-1.p,1,17,18,18,151,1,17,1,17,18,18,2,1,2,17,0.882353,0.117647,2,1,7,3,2,U,U,P,M,G,2,1,M,M
GRP146-1.p,1,17,18,18,151,1,17,1,17,18,18,2,1,2,17,0.882353,0.117647,2,1,7,3,2,U,U,P,M,G,2,1,M,M
